OBJECTID;NUMERO;IMMEUBLE;DESIGNATION;DENOMINATION;COMPLEMENT;ALTITUDE;ANNEE;X;Y;TYP;geo_shape;geo_point_2d
20311;rn27009;2;Avenue;DUQUESNE;A l'angle de la place de l'Ecole Militaire;37.269;1983;597773.406;128171.856;ENSERVICE;"{""type"": ""Point"", ""coordinates"": [2.306181174899133, 48.8540050010814]}";48.8540050011,2.3061811749
20323;rn48118;14;Rue;MOREAU;#;34.403;1984;602655.808;127705.297;ENSERVICE;"{""type"": ""Point"", ""coordinates"": [2.372713136509801, 48.84980761355119]}";48.8498076136,2.37271313651
20344;rn70122;1;Rue;SAINT-ELEUTHERE;Face à la rue Azais;123.675;2012;600350.978;131747.109;ENSERVICE;"{""type"": ""Point"", ""coordinates"": [2.341309841850758, 48.88616026683309]}";48.8861602668,2.34130984185
20355;rn80312;23;Boulevard;DAVOUT;#;52.613;1995;605473.239;127595.44;ENSERVICE;"{""type"": ""Point"", ""coordinates"": [2.411102953591664, 48.84880107785149]}";48.8488010779,2.41110295359
20386;rn76004;16;Rue;PETIT;#;53.345;1992;603251.039;131586.256;ENSERVICE;"{""type"": ""Point"", ""coordinates"": [2.380854719129238, 48.88470522991416]}";48.8847052299,2.38085471913
20393;rn60159;15;Rue de la;MONTAGNE DE L'ESPEROU;#;32.873;1995;595507.667;126881.265;ENSERVICE;"{""type"": ""Point"", ""coordinates"": [2.275319157518601, 48.8423866108613]}";48.8423866109,2.27531915752
20413;rn76249;8;Rue;BOTZARIS;A l'angle de la villa du Parc;84.449;1992;603299.668;130642.906;ENSERVICE;"{""type"": ""Point"", ""coordinates"": [2.38151022793879, 48.87622166104998]}";48.876221661,2.38151022794
20470;rn35036;18;Rue;PAPILLON;#;36.774;1985;600760.537;130668.133;ENSERVICE;"{""type"": ""Point"", ""coordinates"": [2.346892789212466, 48.87645693074534]}";48.8764569307,2.34689278921
20513;rn80198;#;Rue du;VOLGA;Face au n°12 près du passage Beaufils;56.286;1988;605034.47;127989.695;ENSERVICE;"{""type"": ""Point"", ""coordinates"": [2.405129117674708, 48.85235025151431]}";48.8523502515,2.40512911767
20546;rn51155;26;Avenue;LEON BOLLEE;#;58.478;1981;601793.706;124180.285;ENSERVICE;"{""type"": ""Point"", ""coordinates"": [2.360950571336034, 48.81811121710351]}";48.8181112171,2.36095057134
20569;rn70010;42;Rue;LETORT;#;52.501;1988;600514.0;132850.0;ENSERVICE;"{""type"": ""Point"", ""coordinates"": [2.3435341647725982, 48.896078176266776]}";48.8960781763,2.34353416477
20589;rn66125;27;Rue;CARDINET;Face à la rue Barye;39.589;1993;597542.027;131268.878;ENSERVICE;"{""type"": ""Point"", ""coordinates"": [2.303009030714867, 48.88185486391261]}";48.8818548639,2.30300903071
20601;rn75232;7;Rue de l';EGALITE;#;95.63;2014;604236.757;131190.91;ENSERVICE;"{""type"": ""Point"", ""coordinates"": [2.394291791746352, 48.881143968267295]}";48.8811439683,2.39429179175
20604;rn29036;3;Rue;QUENTIN-BAUCHART;#;48.966;1983;597279.252;129837.198;ENSERVICE;"{""type"": ""Point"", ""coordinates"": [2.29943578218364, 48.86897901827122]}";48.8689790183,2.29943578218
