,nodeid,latitude,longitude
730,15378841,48.8374796,2.3914938
731,15378842,48.8369406,2.3934739
732,15378843,48.8364941,2.3949803
733,15378844,48.8367905,2.3953639
734,15378845,48.8378649,2.394425
735,15378847,48.8354342,2.3977785
736,15378848,48.8354094,2.3978772
737,15378849,48.8351827,2.3987647
738,15378852,48.8448398,2.4020338
739,15378854,48.8451089,2.4020463
740,15378856,48.8450597,2.4025155
741,15378858,48.8448692,2.4024954
742,15378859,48.8449876,2.4019578
743,15435230,48.8297738,2.3570855
744,15435231,48.8290175,2.3576863
745,15435232,48.8298839,2.3596045
746,15435233,48.8294789,2.3600896
747,15435234,48.829755,2.3592977
748,15435237,48.829744,2.3692158
749,15435240,48.8262685,2.3781354
750,15435241,48.8261173,2.3782306
751,15435242,48.8250346,2.3781399
752,15435243,48.8254452,2.3793888
753,15435244,48.8256119,2.3747632
754,15435249,48.8264903,2.3745409
755,15435250,48.8268102,2.3754588
756,15435252,48.8291873,2.3742163
757,15435254,48.8280896,2.3732763
758,15435259,48.8318615,2.3790924
759,15435260,48.8306919,2.3801175
760,15435261,48.8310581,2.3798318
761,15435263,48.8314396,2.380761
762,15435269,48.8286929,2.381007
763,15435271,48.8295644,2.3831228
764,15435272,48.8286256,2.3821031
765,15435273,48.8282224,2.3824469
766,15435274,48.8271874,2.3800475
767,15435277,48.8276168,2.3813542
768,15435280,48.8292366,2.3835364
769,15435281,48.8280894,2.3848562
770,15435282,48.8245138,2.3871231
771,15435283,48.8244549,2.3869612
772,15435310,48.8301419,2.3805133
773,15435311,48.8317122,2.3729077
774,15641131,48.8412715,2.3435923
775,15643080,48.8438778,2.365954
776,15643084,48.8712061,2.3381621
777,15643085,48.8709213,2.3395415
778,15643088,48.8553382,2.3458801
779,15643095,48.8535714,2.3474639
780,15643097,48.8796813,2.3459903
781,15643098,48.8666409,2.3373626
782,15643099,48.8632226,2.3355182
783,15643100,48.8621235,2.3394581
784,15643101,48.8613463,2.3431357
785,15643102,48.8610675,2.3448967
786,15643104,48.8616868,2.3412065
787,15643109,48.8591448,2.4021238
788,15644057,48.8585119,2.3482157
789,15644058,48.876166,2.3582923
790,15644294,48.8736819,2.3144522
791,15644295,48.8730772,2.3115136
792,15859474,48.8310663,2.3681904
793,15859479,48.8345714,2.367376
794,15859481,48.8347464,2.3670683
795,15859483,48.8347201,2.3669865
796,15859484,48.8358472,2.3598406
797,15859487,48.840958,2.3625206
798,15859492,48.8430734,2.3663777
799,15859494,48.8389234,2.3700273
800,15859496,48.8386611,2.3723708
801,15859497,48.8383393,2.3728047
802,15859498,48.8379275,2.3732807
803,15859500,48.8372125,2.3728913
804,15859501,48.836673,2.3718984
805,15859502,48.8352646,2.3694487
806,15859504,48.8351188,2.3690123
807,15859505,48.8354776,2.3692631
808,15859506,48.8355082,2.3699904
809,15859507,48.8356684,2.3698368
810,15859511,48.8359729,2.3601021
